Month,story_id,Region,Event count
Apr-2026,40210075,Maharashtra,22090
Apr-2026,40189236,Bihar,22065
Apr-2026,40208593,Maharashtra,22030
Apr-2026,40213429,Maharashtra,21982
Apr-2026,40217732,Uttar Pradesh,21975
Apr-2026,40221347,Uttar Pradesh,21970
Apr-2026,40193699,Bihar,21946
Apr-2026,40218580,Delhi Division,21936
Apr-2026,40213010,Punjab,21889
Apr-2026,40205689,Delhi Division,21769
Apr-2026,40208868,Uttar Pradesh,21757
Apr-2026,40213356,Uttar Pradesh,21659
Apr-2026,40219548,Uttar Pradesh,21624
Apr-2026,30000459,Bihar,21615
Apr-2026,40203260,Uttar Pradesh,21602
Apr-2026,40198599,Delhi Division,21542
Apr-2026,40202928,Uttar Pradesh,21529
Apr-2026,40198763,Uttar Pradesh,21375
Apr-2026,40220412,Uttar Pradesh,21338
Apr-2026,40190371,Uttar Pradesh,21327
Apr-2026,40206792,Uttar Pradesh,21327
Apr-2026,40206690,Madhya Pradesh,21326
Apr-2026,40204186,Uttar Pradesh,21315
Apr-2026,40207548,Bihar,21267
Apr-2026,40212203,Uttar Pradesh,21256
Apr-2026,40207766,Uttar Pradesh,21244
Apr-2026,40203344,Uttar Pradesh,21208
Apr-2026,40217712,Uttar Pradesh,21113
Apr-2026,40207806,Bihar,21089
Apr-2026,40200502,Rajasthan,21029
Apr-2026,40206690,Maharashtra,20994
Apr-2026,40203462,Uttar Pradesh,20971
Apr-2026,40209211,Delhi Division,20934
Apr-2026,40205841,Haryana,20910
Apr-2026,40210738,Uttar Pradesh,20886
Apr-2026,40193191,Delhi Division,20874
Apr-2026,40194033,Bihar,20803
Apr-2026,40209701,Gujarat,20792
Apr-2026,40210075,Delhi Division,20695
Apr-2026,40208709,Delhi Division,20673
Apr-2026,40205689,Uttar Pradesh,20636
Apr-2026,40205509,Haryana,20601
Apr-2026,40205296,Madhya Pradesh,20516
Apr-2026,40198981,Uttar Pradesh,20481
Apr-2026,40198888,Uttar Pradesh,20469
Apr-2026,40210995,Maharashtra,20469
Apr-2026,40213613,Delhi Division,20434
Apr-2026,40210995,Madhya Pradesh,20374
Apr-2026,40216783,Haryana,20374
Apr-2026,40199448,Uttar Pradesh,20362
Apr-2026,40209211,Maharashtra,20351
Apr-2026,40207149,Maharashtra,20338
Apr-2026,40215278,Rajasthan,20255
Apr-2026,40191306,Uttar Pradesh,20231
Apr-2026,40213429,Rajasthan,20112
Apr-2026,40219018,Maharashtra,20076
Apr-2026,40205375,Delhi Division,20052
Apr-2026,40210539,Uttar Pradesh,20052
Apr-2026,40214590,Maharashtra,20028
Apr-2026,40191164,Uttar Pradesh,19994
Apr-2026,40196112,Uttar Pradesh,19993
Apr-2026,40216616,Uttar Pradesh,19981
Apr-2026,40219918,Uttar Pradesh,19933
Apr-2026,40207149,Bihar,19921
Apr-2026,40197034,Uttar Pradesh,19877
Apr-2026,40196622,Uttar Pradesh,19862
Apr-2026,40194489,Delhi Division,19743
Apr-2026,40190930,Bihar,19730
Apr-2026,40214800,Uttar Pradesh,19657
Apr-2026,40216547,Bihar,19611
Apr-2026,40209922,Maharashtra,19541
Apr-2026,40211287,Uttar Pradesh,19528
Apr-2026,40205614,Delhi Division,19505
Apr-2026,40193969,Uttar Pradesh,19493
Apr-2026,40206816,Maharashtra,19480
Apr-2026,40216908,Uttar Pradesh,19456
Apr-2026,40216320,Rajasthan,19446
Apr-2026,40196635,Uttar Pradesh,19325
Apr-2026,40208593,Uttar Pradesh,19302
Apr-2026,40217394,Madhya Pradesh,19289
Apr-2026,40201433,Maharashtra,19242
Apr-2026,40195195,Uttar Pradesh,19231
Apr-2026,40194762,Uttar Pradesh,19218
Apr-2026,40218920,Delhi Division,19195
Apr-2026,40194675,Gujarat,19183
Apr-2026,40216342,Maharashtra,19182
Apr-2026,40213742,Uttar Pradesh,19135
Apr-2026,40212178,Uttar Pradesh,19132
Apr-2026,40192744,Uttar Pradesh,19123
Apr-2026,40211151,Uttar Pradesh,19111
Apr-2026,40204005,Haryana,19100
Apr-2026,40199589,Uttar Pradesh,19040
Apr-2026,40223244,Uttar Pradesh,19039
Apr-2026,40198471,Delhi Division,19004
Apr-2026,40222457,Uttar Pradesh,18993
Apr-2026,40205395,Bihar,18980
Apr-2026,40210679,Uttar Pradesh,18961
Apr-2026,40213058,Delhi Division,18955
Apr-2026,40194454,Bihar,18861
Apr-2026,40200172,Bihar,18860
Apr-2026,40191181,Uttar Pradesh,18838
Apr-2026,30000461,Uttar Pradesh,18825
Apr-2026,40204603,Uttar Pradesh,18825
Apr-2026,40215056,Uttar Pradesh,18814
Apr-2026,40218454,Uttar Pradesh,18777
Apr-2026,40192307,Uttar Pradesh,18766
Apr-2026,40207059,Delhi Division,18754
